,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,PROP_FREIGHT,CHARTER_PAX,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,OP_EXPENSES,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER,Unnamed: 18
500,-6884.86,-6403.72,4645.78,0.0,71.07,3195.01,0.0,7915.36,3675.69,1585.07,0.0,0.0,14319.09,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",I,2020,1,
501,-5691.49,-7858.13,0.0,5146.74,2236.66,0.0,696.64,14600.82,6123.68,8735.06,0.0,2320.29,22458.96,L2,Lynden Air Cargo Airlines,D,2020,2,
502,-5530.34,-5486.35,0.0,0.0,30936.22,0.0,0.0,33970.49,2137.91,1119.46,0.0,91.18,39456.84,U7,USA Jet Airlines Inc.,D,2020,2,
503,-5513.64,-31516.34,19146.3,104.7,2649.53,7669.55,250.16,33197.1,21285.33,4333.14,4070.58,6192.92,64713.44,SY,Sun Country Airlines d/b/a MN Airlines,D,2020,2,
504,-5364.0,-56189.0,,0.0,100809.0,,172704.0,292169.0,27880.0,12225.0,,82124.0,348358.0,FX,Federal Express Corporation,L,2020,3,
505,-5222.42,-5046.34,830.36,0.0,0.0,7533.96,0.0,8621.56,5824.27,3011.84,0.0,1837.5,13667.9,2HQ,Elite Airways LLC,D,2020,2,
506,-4758.72,-12006.36,9343.7,0.0,0.0,0.0,63.12,19292.24,13266.14,2304.49,2421.08,3320.91,31298.6,NK,Spirit Air Lines,L,2020,3,
507,-4332.83,-10268.85,2087.38,0.0,0.0,0.0,-0.7,4155.88,5999.16,1118.32,1237.42,1309.05,14424.72,NK,Spirit Air Lines,L,2020,2,
508,-4074.83,25345.55,298092.54,0.0,13.67,0.0,19762.11,350471.21,133510.22,39709.54,29659.18,56895.46,325125.66,B6,JetBlue Airways,L,2020,1,
509,-3913.48,7920.73,0.0,,26464.92,0.0,0.0,52305.18,18756.64,22293.78,0.0,553.13,44384.45,ABX,ABX Air Inc,D,2020,1,
